Number,Description (EN),Description (DE)
01,Weight of moving object,Masse eines bewegten Objekts
02,Weight of stationary object,Masse eines stationären Objekts
03,Length of moving object,Länge eines bewegten Objekts
04,Length of stationary object,Länge eines stationären Objekts
05,Area of moving object,Fläche eines bewegten Objekts
06,Area of stationary object,Fläche eines stationären Objekts
07,Volume of moving object,Volumen eines bewegten Objekts
08,Volume of stationary object,Volumen eines stationären Objekts
09,Speed,Geschwindigkeit
10,Force (Intensity),Kraft (Intensität)
11,Stress or pressure,Spannung oder Druck
12,Shape,Form
13,Stability of the object composition,Stabilität der Zusammensetzung eines Objekts
14,Strength,Festigkeit oder Stärke
15,Duration of action of moving object,Haltbarkeit eines bewegten Objekts
16,Duration of action of stationary object,Haltbarkeit eines stationären Objekts
17,Temperature,Temperatur
18,Illumination intensity,Beleuchtungsstärke
19,Use of energy by moving object,Energieverbrauch eines beweglichen Objekts
20,Use of energy by stationary object,Energieverbrauch eines stationären Objekts
21,Power,Leistung
22,Loss of energy,Energieverlust
23,Loss of substance,Materialverlust
24,Loss of information,Informationsverlust
25,Loss of time,Zeitverlust
26,Quantity of substance,Materialmenge
27,Reliability,Zuverlässigkeit
28,Measurement accuracy,Messgenauigkeit
29,Manufacturing precision,Fertigungsgenauigkeit
30,Object-affected harmful factor,Äußere negative Einflüsse auf das Objekt
31,Object-generated harmful factor,Vom Objekt erzeugte schädliche Faktoren
32,Ease of manufacture,Fertigungsfreundlichkeit
33,Ease of operation,Benutzungsfreundlichkeit
34,Ease of repair,Reparaturfreundlichkeit
35,Adaptability or Versatility,Anpassungsfähigkeit oder Vielseitigkeit
36,Device complexity,Komplexität in der Struktur
37,Difficulty of detection,Detektions- oder Messschwierigkeit
38,Extent of automation,Automatisierungsgrad
39,Productivity,Produktivität
