Improving Parameter,Worsening Parameter,Inventive Principles
01 Weight of moving object,01 Weight of moving object,see physical contradiction
01 Weight of moving object,02 Weight of stationary object,no preferred inventive principles
01 Weight of moving object,03 Length of moving object,IP #15 and IP #8 and IP #29 andIP #34
01 Weight of moving object,04 Length of stationary object,no preferred inventive principles
01 Weight of moving object,05 Area of moving object,IP #29 and IP #17 and IP #38 and IP #34
01 Weight of moving object,06 Area of stationary object,no preferred inventive principles
01 Weight of moving object,07 Volume of moving object,IP #29 and IP #2 and IP #40 and IP #28
01 Weight of moving object,08 Volume of stationary object,no preferred inventive principles
01 Weight of moving object,09 Speed,IP #2 and IP #8 and IP #15 and IP #38
01 Weight of moving object,10 Force (Intensity),IP #8 and IP #10 and IP #18 and IP #37
01 Weight of moving object,11 Stress or pressure,IP #10 and IP #36 and IP #37 and IP #40
01 Weight of moving object,12 Shape,IP #10 and IP #14 and IP #35 and IP #40
01 Weight of moving object,13 Stability of the object composition,IP #1 and IP #35 and IP #19 and IP #39
01 Weight of moving object,14 Strength,IP #28 and IP #27 and IP #18 and IP #40
01 Weight of moving object,15 Duration of action of moving object,IP #5 and IP #34 and IP #31 and IP #35
01 Weight of moving object,16 Duration of action of stationary object,no preferred inventive principles
01 Weight of moving object,17 Temperature,IP #6 and IP #29 and IP #4 and IP #38
01 Weight of moving object,18 Illumination intensity,IP #19 and IP #1 and IP #32
01 Weight of moving object,19 Use of energy by moving object,IP #35 and IP #12 and IP #34 and IP #31
01 Weight of moving object,20 Use of energy by stationary object,no preferred inventive principles
01 Weight of moving object,21 Power,IP #12 and IP #36 and IP #18 and IP #31
01 Weight of moving object,22 Loss of energy,IP #6 and IP #2 and IP #34 and IP #19
01 Weight of moving object,23 Loss of substance,IP #5 and IP #35 and IP #3 and IP #31
01 Weight of moving object,24 Loss of information,IP #10 and IP #24 and IP #35
01 Weight of moving object,25 Loss of time,IP #10 and IP #35 and IP #20 and IP #28
01 Weight of moving object,26 Quantity of substance,IP #3 and IP #26 and IP #18 and IP #31
01 Weight of moving object,27 Reliability,IP #1 and IP #3 and IP #11 and IP #27
01 Weight of moving object,28 Measurement accuracy,IP #28 and IP #27 and IP #35 and IP #26
01 Weight of moving object,29 Manufacturing precision,IP #28 and IP #35 and IP #26 and IP #18
01 Weight of moving object,30 Object-affected harmful factor,IP #22 and IP #21 and IP #18 and IP #27
01 Weight of moving object,31 Object-generated harmful factor,IP #22 and IP #35 and IP #31 and IP #39
01 Weight of moving object,32 Ease of manufacture,IP #27 and IP #28 and IP #1 and IP #36
01 Weight of moving object,33 Ease of operation,IP #35 and IP #3 and IP #2 and IP #24
01 Weight of moving object,34 Ease of repair,IP #2 and IP #27 and IP #28 and IP #11
01 Weight of moving object,35 Adaptability or Versatility,IP #29 and IP #5 and IP #15 and IP #8
01 Weight of moving object,36 Device complexity,IP #26 and IP #30 and IP #36 and IP #34
01 Weight of moving object,37 Difficulty of detection,IP #28 and IP #29 and IP #26 and IP #32
01 Weight of moving object,38 Extent of automation,IP #26 and IP #35 and IP #18 and IP #19
01 Weight of moving object,39 Productivity,IP #35 and IP #3 and IP #24 and IP #37
02 Weight of stationary object,01 Weight of moving object,no preferred inventive principles
02 Weight of stationary object,02 Weight of stationary object,see physical contradiction
