Improving Parameter,Worsening Parameter,Inventive Principles
01 Weight of Moving Object,01 Weight of Moving Object,see physical contradiction
01 Weight of Moving Object,02 Weight of Stationary Object,IP #3 and IP #19 and IP #35 and IP #40 and IP #1 and IP #26 and IP #2
01 Weight of Moving Object,03 Length/Angle of Moving Object,IP #17 and IP #15 and IP #8 and IP #35 and IP #34 and IP #28 and IP #29 and IP #30 and IP #40
01 Weight of Moving Object,04 Length/Angle of Stationary Object,IP #15 and IP #17 and IP #28 and IP #12 and IP #35 and IP #29 and IP #30
01 Weight of Moving Object,05 Area of Moving Object,IP #28 and IP #17 and IP #29 and IP #35 and IP #1 and IP #31 and IP #4
01 Weight of Moving Object,06 Area of Stationary Object,IP #17 and IP #28 and IP #1 and IP #29 and IP #35 and IP #15 and IP #31 and IP #4
01 Weight of Moving Object,07 Volume of Moving Object,IP #28 and IP #29 and IP #7 and IP #40 and IP #35 and IP #31 and IP #2
01 Weight of Moving Object,08 Volume of Stationary Object,IP #40 and IP #35 and IP #2 and IP #4 and IP #7
01 Weight of Moving Object,09 Shape,IP #3 and IP #35 and IP #14 and IP #17 and IP #4 and IP #7
01 Weight of Moving Object,10 Amount of Substance,IP #31 and IP #28 and IP #26 and IP #7 and IP #2 and IP #3 and IP #5 and IP #40
01 Weight of Moving Object,11 Amount of Information,IP #2 and IP #5 and IP #7 and IP #4 and IP #34 and IP #10
01 Weight of Moving Object,12 Duration of Action of Moving Object,IP #10 and IP #5 and IP #34 and IP #16 and IP #2
01 Weight of Moving Object,13 Duration of Action of Stationary Object,IP #10 and IP #5 and IP #28 and IP #35 and IP #16 and IP #2
01 Weight of Moving Object,14 Speed,IP #15 and IP #2 and IP #25 and IP #19 and IP #38 and IP #18
01 Weight of Moving Object,15 Force/Torque,IP #10 and IP #30 and IP #35 and IP #28 and IP #8 and IP #37 and IP #18
01 Weight of Moving Object,16 Energy Used by Moving Object,IP #35 and IP #10 and IP #19 and IP #3 and IP #34 and IP #31 and IP #12
01 Weight of Moving Object,17 Energy Used by Stationary Object,IP #35 and IP #15 and IP #1 and IP #28 and IP #7 and IP #14 and IP #34 and IP #39
01 Weight of Moving Object,18 Power,IP #19 and IP #30 and IP #36 and IP #31 and IP #12 and IP #18 and IP #14 and IP #25 and IP #1
01 Weight of Moving Object,19 Stress/Pressure,IP #10 and IP #40 and IP #30 and IP #36 and IP #37 and IP #31 and IP #4 and IP #3 and IP #12
01 Weight of Moving Object,20 Strength,IP #28 and IP #31 and IP #40 and IP #35 and IP #10 and IP #30 and IP #18 and IP #14 and IP #4
01 Weight of Moving Object,21 Stability,IP #35 and IP #1 and IP #30 and IP #39 and IP #29 and IP #21 and IP #7 and IP #19 and IP #12
01 Weight of Moving Object,22 Temperature,IP #2 and IP #40 and IP #6 and IP #31 and IP #36 and IP #29 and IP #4 and IP #38 and IP #32
01 Weight of Moving Object,23 Illumination Intensity,IP #1 and IP #35 and IP #32 and IP #38 and IP #13 and IP #19 and IP #23
01 Weight of Moving Object,24 Function Efficiency,IP #1 and IP #2 and IP #28 and IP #3 and IP #35 and IP #25
01 Weight of Moving Object,25 Loss of Substance,IP #5 and IP #35 and IP #31 and IP #24 and IP #3 and IP #4 and IP #7 and IP #40
01 Weight of Moving Object,26 Loss of Time,IP #10 and IP #19 and IP #28 and IP #20 and IP #35 and IP #1 and IP #2 and IP #3 and IP #16
01 Weight of Moving Object,27 Loss of Energy,IP #19 and IP #6 and IP #3 and IP #10 and IP #2 and IP #13 and IP #34 and IP #12
01 Weight of Moving Object,28 Loss of Information,IP #10 and IP #24 and IP #11 and IP #35 and IP #25
01 Weight of Moving Object,29 Noise,IP #35 and IP #2 and IP #25 and IP #13 and IP #3 and IP #5 and IP #39 and IP #14
01 Weight of Moving Object,30 Harmful Emissions,IP #2 and IP #30 and IP #39 and IP #25 and IP #10 and IP #21 and IP #31 and IP #35 and IP #27
01 Weight of Moving Object,31 Other Harmful Effects Generated by System,IP #2 and IP #35 and IP #10 and IP #39 and IP #3 and IP #31 and IP #22 and IP #24 and IP #27
01 Weight of Moving Object,32 Adaptability/Versatility,IP #29 and IP #28 and IP #15 and IP #2 and IP #12 and IP #5 and IP #7 and IP #34
01 Weight of Moving Object,33 Compatibility/Connectability,IP #10 and IP #15 and IP #13 and IP #5 and IP #24 and IP #25 and IP #26
01 Weight of Moving Object,34 Trainability/Operability/Controllability,IP #2 and IP #15 and IP #3 and IP #11 and IP #25 and IP #23 and IP #35 and IP #24 and IP #1
01 Weight of Moving Object,35 Reliability/Robustness,IP #3 and IP #17 and IP #1 and IP #35 and IP #27 and IP #14 and IP #11 and IP #4 and IP #31
01 Weight of Moving Object,36 Repairability,IP #2 and IP #28 and IP #17 and IP #27 and IP #3 and IP #30 and IP #33 and IP #11 and IP #14
01 Weight of Moving Object,37 Security,IP #2 and IP #5 and IP #6 and IP #23 and IP #24 and IP #28
01 Weight of Moving Object,38 Safety/Vulnerability,IP #26 and IP #10 and IP #17 and IP #13 and IP #35 and IP #2 and IP #5 and IP #28
01 Weight of Moving Object,39 Aesthetics/Appearance,IP #3 and IP #1 and IP #31 and IP #14 and IP #40 and IP #30
01 Weight of Moving Object,40 Other Harmful Effects Acting on System,IP #5 and IP #24 and IP #27 and IP #21 and IP #2 and IP #25 and IP #18 and IP #31 and IP #35
01 Weight of Moving Object,41 Manufacturability,IP #1 and IP #5 and IP #36 and IP #25 and IP #16 and IP #14 and IP #27 and IP #24 and IP #3
01 Weight of Moving Object,42 Manufacture Precision/Consistency,IP #28 and IP #5 and IP #26 and IP #35 and IP #25 and IP #1 and IP #18 and IP #24 and IP #3
01 Weight of Moving Object,43 Automation,IP #35 and IP #26 and IP #2 and IP #10 and IP #25 and IP #24 and IP #1 and IP #19 and IP #18
