Number,Description (EN),Description (DE),Synonyms,Antonyms,Explanation
01,Weight of Moving Object,Gewicht eines bewegten Objekts,Mass Load Burden Cargo Freight Payload Heft Weightiness Density Volume,Lightness Insignificance Negligibility Triviality Airiness Emptiness Insubstantiality Weightlessness Flimsiness Fragility,Refers to the mass of an object that is in motion which can affect its speed energy consumption and the forces acting upon it
02,Weight of Stationary Object,Gewicht eines stationären Objekts,Mass Load Burden Cargo Freight Payload Heft Weightiness Density Volume,Lightness Insignificance Negligibility Triviality Airiness Emptiness Insubstantiality Weightlessness Flimsiness Fragility,The mass of an object that is not in motion which can influence stability support requirements and structural integrity
03,Length/Angle of Moving Object,Länge/Winkel eines bewegten Objekts,Size Dimension Extent Reach Span Distance Measurement Proportion Scale Magnitude,Shortness Compactness Contraction Diminution Miniaturization Shrinkage Reduction Constriction Limitation Constraint,The measurement of an object in motion which can impact aerodynamics maneuverability and space requirements
04,Length/Angle of Stationary Object,Länge/Winkel eines stationären Objekts,Size Dimension Extent Reach Span Distance Measurement Proportion Scale Magnitude,Shortness Compactness Contraction Diminution Miniaturization Shrinkage Reduction Constriction Limitation Constraint,The measurement of an object that is not moving which can affect its usability storage and interaction with other objects
05,Area of Moving Object,Fläche eines bewegten Objekts,Surface Extent Region Space Field Zone Scope Dimension Size Coverage,Smallness Insignificance Contraction Diminution Limitation Restriction Constriction Narrowness Compression Reduction,The surface area of an object in motion which can influence drag heat dissipation and interaction with the environment
06,Area of Stationary Object,Fläche eines stationären Objekts,Surface Extent Region Space Field Zone Scope Dimension Size Coverage,Smallness Insignificance Contraction Diminution Limitation Restriction Constriction Narrowness Compression Reduction,The surface area of an object that is not moving which can affect contact with other surfaces and overall functionality
07,Volume of Moving Object,Volumen eines bewegten Objekts,Capacity Size Bulk Space Extent Measurement Proportion Magnitude Dimensions Content,Smallness Insignificance Contraction Diminution Limitation Restriction Constriction Narrowness Compression Reduction,The three-dimensional space occupied by an object in motion which can impact buoyancy stability and energy requirements
08,Volume of Stationary Object,Volumen eines stationären Objekts,Capacity Size Bulk Space Extent Measurement Proportion Magnitude Dimensions Content,Smallness Insignificance Contraction Diminution Limitation Restriction Constriction Narrowness Compression Reduction,The three-dimensional space occupied by an object that is not moving which can influence storage transport and interaction with other objects
09,Shape,Form,Form Configuration Contour Geometry Profile Silhouette Outline Structure,Shapelessness Irregularity Distortion Amorphism Deformation,The external form or appearance of an object which affects its aesthetics aerodynamics ergonomics and mechanical interaction with its surroundings
10,Amount of Substance,Materialmenge,Quantity Volume Mass Content Bulk Material Load,Absence Insufficiency Scarcity Lack Emptiness,Refers to how much physical material (e.g. fluid/solid/gas) is present which can influence processing time cost weight and environmental impact
11,Amount of Information,Informationsmenge,Data Volume Knowledge Content Dataset Size Bandwidth Requirement,Data Loss Information Deficiency Ignorance Incompleteness,Represents how much information a system handles stores or transmits affecting memory speed security and complexity of processing,Operating Time Action Period Run Duration Motion Time,Inactivity Pause Stop Time Downtime,The time during which a moving object performs its function continuously which affects wear energy use and effectiveness.
12,Duration of Action of Moving Object,Wirkungsdauer eines bewegten Objekts,Operating Time Action Period Run Duration Motion Time,Inactivity Pause Stop Time Downtime,The time during which a moving object performs its function continuously which affects wear energy use and effectiveness
13,Duration of Action of Stationary Object,Wirkungsdauer eines stationären Objekts,Service Time Active Phase Operation Duration Use Period,Dormancy Inactivity Downtime Idle Period,The time a stationary component remains functionally active or engaged in its role which affects reliability performance cycles and maintenance intervals
14,Speed,Geschwindigkeit,Velocity Movement Rate Pace Swiftness Rapidity,Slowness Delay Lethargy Immobility Inertia,The rate at which an object or process moves or progresses over time. Speed influences productivity efficiency and energy consumption
15,Force/Torque,Kraft/Moment,Load Thrust Drive Tension Compression Moment Power Output,Weakness Slack Feebleness Zero Force Instability,The mechanical effort applied to produce movement or maintain stability in systems critical in mechanical transmission and structural support
16,Energy Used by Moving Object,Energieverbrauch eines bewegten Objektes,Power Consumption Fuel Use Operational Energy Energy Demand,Energy Saving Efficiency Zero-Energy Operation Passive Motion,The total energy expended by a moving object during operation. A key factor in optimizing performance sustainability and operating cost
17,Energy Used by Stationary Object,Energieverbrauch eines stationären Objektes,Idle Consumption Standby Energy Static Power Demand Holding Energy,Passive State Zero Energy Use Energy-Free Operation,he energy consumed by a non-moving component during operation such as for heating signaling or control functions. Important for efficiency and energy footprint
18,Power,Leistung,Energy Rate Output Wattage Electrical/Mechanical Power Performance Capacity,Powerlessness Weak Output Low Efficiency Zero Load,The rate at which energy is transferred or converted in a system. Power is a critical performance metric for drives actuators and electronics
19,Stress/Pressure,Spannung/Druck,Load per Area Force Intensity Mechanical Tension Compression Internal Force,Relaxation No Load Low Pressure Equilibrium,Internal forces within a material or structure or external forces per unit area. High stress affects durability safety and material fatigue
20,Strength,Festigkeit,Load Capacity Mechanical Integrity Resistance Durability Toughness,Fragility Weakness Vulnerability Brittleness,The ability of a material or structure to withstand forces without breaking or deforming. Essential for structural and mechanical safety
21,Stability,Stabilität,Balance Steadiness Equilibrium Robustness Fixation Constancy,Instability Imbalance Volatility Wobbliness Oscillation,The resistance of a system or component to undesired movement tipping or fluctuation. Affects safety accuracy and long-term performance.
22,Temperature,Temperatur,Heat Level Thermal State Warmth Heat Intensity,Coldness Freezing Coolness Low Temperature,The thermal condition of a system or component which influences reaction rates material properties comfort and energy consumption
23,Illumination Intensity,Beleuchtungsintensität,Brightness Light Level Luminance Light Output,Darkness Dimness Low Light Obscurity,The amount of light produced or present in a system or environment. Important for visibility safety precision and energy efficiency
